明細コード,年月,検索カナ,品名,YJコード,一般名称カナ,一般名称,単位,棚番１,棚番２,理論在庫,単価,在庫金額,不動月数,在庫金額順位,発注点,調整数,自動発注対象外,発注点有効,後発,未処方日数,薬剤備考,薬価,薬価在庫金額,前月末理論在庫,入庫数,入庫金額,処方出庫数,処方出庫金額,処方外出庫数,処方外出庫金額,在庫月数
225265,202606,ｲﾙﾄﾗ,イルトラ配合錠ＨＤ,2149119F2020,イルベサルタン・トリクロルメチアジドハイゴウザイジョウ,イルベサルタン・トリクロルメチアジド配合剤錠,錠,,,56,0,0,,1151,0,0,0,0,0,,"",44,2464,56,0,0,0,0,0,0,0
225267,202606,ｳﾘｱﾃﾞｯｸ,ウリアデック錠２０ｍｇ,3949004F1028,トピロキソスタットジョウ,トピロキソスタット錠,錠,,,120,13.16,1579,3,637,60,0,0,1,0,93,"",14.9,1788,120,0,0,0,0,0,0,0
225269,202606,ｳﾘｱﾃﾞｯｸ,ウリアデック錠４０ｍｇ,3949004F2024,トピロキソスタットジョウ,トピロキソスタット錠,錠,,,140,23.64,3310,,370,60,0,0,1,0,9,"",27.3,3822,100,100,2364,60,1418,0,0,2.33
225271,202606,ｳﾘｱﾃﾞｯｸ,ウリアデック錠６０ｍｇ,3949004F3020,トピロキソスタットジョウ,トピロキソスタット錠,錠,,,140,34.62,4847,1,265,60,0,0,1,0,22,"",40,5600,140,0,0,0,0,0,0,2.33
225301,202606,ｹﾄﾁﾌｪﾝ,ケトチフェンカプセル１ｍｇ「サワイ」,4490003M1352,ケトチフェンフマルサンエンカプセル,ケトチフェンフマル酸塩カプセル,カプセル,,,122,5.3,647,19,954,0,0,0,0,1,583,"",6.3,769,122,0,0,0,0,0,0,0
225310,202606,ｺﾝﾌﾟﾗﾋﾞﾝ,コンプラビン配合錠,3399101F1021,クロピドグレルリュウサンエン・アスピリンチョウヨウジョウ,クロピドグレル硫酸塩・アスピリン腸溶錠,錠,,,21,45.42,954,11,826,0,0,0,0,0,340,"",40.9,859,21,0,0,0,0,0,0,0
225320,202606,ﾛﾗｾﾞﾊﾟﾑ,ロラゼパム錠０．５ｍｇ「サワイ」,1124022F1083,ロラゼパムジョウ,ロラゼパム錠,錠,,,270,5.12,1382,1,703,180,0,0,1,1,20,"",6.3,1701,270,0,0,0,0,0,0,9
225321,202606,ﾛﾗｾﾞﾊﾟﾑ,ロラゼパム錠１ｍｇ「サワイ」,1124022F2110,ロラゼパムジョウ,ロラゼパム錠,錠,,,246,4.94,1215,,747,180,0,0,1,1,4,"",6.3,1550,261,200,988,315,1556,0,0,0.57
225441,202606,ﾋﾄﾞﾛｸﾛﾛﾁｱｼ,ヒドロクロロチアジド錠２５ｍｇ「トーワ」,2132004F1103,ヒドロクロロチアジドジョウ,ヒドロクロロチアジド錠,錠,,,110,4.87,536,2,1000,60,,0,1,1,53,"",6.3,693,110,0,0,0,0,0,0,0
225442,202606,ﾋﾄﾞﾛｸﾛﾛﾁｱｼ,ヒドロクロロチアジド錠１２．５ｍｇ「トーワ」,2132004F2037,ヒドロクロロチアジドジョウ,ヒドロクロロチアジド錠,錠,,,11,4.93,54,10,1142,0,0,1,0,1,297,"",6.3,69,11,0,0,0,0,0,0,0
225444,202606,ｽﾋﾟﾛﾉﾗｸﾄﾝ,スピロノラクトン錠２５ｍｇ「ＣＨ」,2133001F1620,スピロノラクトンジョウ,スピロノラクトン錠,錠,,,189,9.62,1818,,575,150,0,0,1,1,3,"",10.8,2041,167,100,962,90,866,0,0,0.77
225447,202606,ｴﾅﾗﾌﾟﾘﾙﾏﾚｲ,エナラプリルマレイン酸塩錠２．５ｍｇ「サワイ」,2144002F1300,エナラプリルマレインサンエンジョウ,エナラプリルマレイン酸塩錠,錠,,,175,8.7,1523,1,654,100,0,0,1,1,16,"",10.8,1890,175,0,0,0,0,0,0,0.97
225448,202606,ｴﾅﾗﾌﾟﾘﾙﾏﾚｲ,エナラプリルマレイン酸塩錠５ｍｇ「サワイ」,2144002F2357,エナラプリルマレインサンエンジョウ,エナラプリルマレイン酸塩錠,錠,,,228,8.7,1984,1,542,100,0,0,1,1,17,"",10.8,2462,228,0,0,0,0,0,0,0.95
225449,202606,ｴﾅﾗﾌﾟﾘﾙﾏﾚｲ,エナラプリルマレイン酸塩錠１０ｍｇ「サワイ」,2144002F3272,エナラプリルマレインサンエンジョウ,エナラプリルマレイン酸塩錠,錠,,,70,9.62,673,,944,60,,0,1,1,4,"",10.8,756,100,0,0,30,289,0,0,2.33
225463,202606,ﾆﾙﾊﾞｼﾞﾋﾟﾝ,ニルバジピン錠４ｍｇ「サワイ」,2149022F2105,ニルバジピンジョウ,ニルバジピン錠,錠,,,123,8.83,1086,1,784,60,0,0,1,1,30,"",10.8,1328,123,0,0,0,0,0,0,2.05
225482,202606,ﾌﾟﾚﾐﾈﾝﾄ,プレミネント配合錠ＬＤ,2149110F1040,ロサルタンカリウム・ヒドロクロロチアジドハイゴウザイジョウ,ロサルタンカリウム・ヒドロクロロチアジド配合剤錠,錠,,,27,51.4,1388,14,701,0,0,0,0,0,431,"",36.6,988,27,0,0,0,0,0,0,0
225509,202606,ｲﾁｼｮｳｻﾝｲｿｿ,一硝酸イソソルビド錠２０ｍｇ「サワイ」,2171023F2127,イチショウサンイソソルビドジョウ,一硝酸イソソルビド錠,錠,,,156,8.5,1326,1,719,60,0,0,1,1,32,"",10.8,1685,156,0,0,0,0,0,0,0
